时间,姓名,内容,阅读,评论,,,,,
2021/9/6 10:00,PP333,不拉高怎样跑哪,92,0,,,,,
2021/9/6 9:37,OYO7827,5月13日的k线,107,0,,,,,
2021/9/5 21:45,萝卜投研,知名公募/私募追踪！隐藏在基金季报及上市公司股东数,3428,1,,,,,
2021/9/5 20:27,倍华资本,套你十年[大笑],95,0,,,,,
2021/9/5 17:52,小船东风,昨天收盘买，果然是诱空，今天挣大钱了,246,2,,,,,
2021/9/5 16:48,holyseeker,下周加仓干，翻倍买车车,257,1,,,,,
2021/9/5 16:42,股友ovo8uL,之前说过500必破，大家不信，如今得到验证！未来走势,194,1,,,,,
2021/9/5 15:06,两融追踪,融资融券周汇总：极米科技本周融资净偿还1138.5万元,212,0,,,,,
2021/9/5 0:15,SMDC科创数据研究,八大力半年报｜卖投影仪的极米科技股价接近“腰斩”，,1185,3,,,,,
2021/9/4 17:28,基民812Qw15689,我是个农民，我想买极米科技，什么时候能买上,423,2,,,,,
2021/9/4 10:09,狄拉斯神殿,目标价450元买进建仓,354,3,,,,,
2021/9/3 18:53,大王来巡查,极米请了顶流，业绩和品类教育是不是会有很好的表现,387,3,,,,,
2021/9/3 14:39,小晶块,诱多不道德,205,1,,,,,
2021/9/3 10:02,韭菜速生粉,中期底部已出现，买在最低,292,1,,,,,
2021/9/3 8:14,极米科技资讯,极米科技：连续3日融资净偿还累计1537.79万元（09-02,383,0,,,,,
2021/9/3 6:56,股友kHe5ti,000040东旭蓝天能翻几倍涨的股。,350,6,,,,,
2021/9/2 23:33,股友AAEJK0,今天尾盘买回极米，明天早上冲高卖出，极米，极米，阿,173,1,,,,,
2021/9/2 22:51,小船东风,今天大V，底部应该到了,437,6,,,,,
2021/9/2 22:29,jie着奏乐接着舞,明天利空落地，不排除会有一根大阳,251,1,,,,,
2021/9/2 20:51,低吸者联盟,机会是跌出来的，最大的利好就是下跌到一定时候敢买,155,0,,,,,
2021/9/2 19:34,公主梦彩虹糖的梦,比石头强点,209,2,,,,,
2021/9/2 17:09,股友lN5XRc7729,中签的，512跑的，回来看看，孩子们，都好啊！,533,5,,,,,
2021/9/2 16:57,基民Vzh7H2,明天解禁，凉凉,402,3,,,,,
2021/9/2 16:05,基民1x9DFB,下午两点半破450,213,1,,,,,
2021/9/2 15:47,章鱼帝的智慧,49.18元《净资产》,235,0,,,,,
2021/9/2 15:24,小晶块,给力，太给力了！进入月线级别调整，看来要等很久了,194,0,,,,,
2021/9/2 15:18,基民1x9DFB,今天能破450,160,2,,,,,
2021/9/2 14:53,股友006O0F6331,走了88,153,0,,,,,
2021/9/2 13:39,OYO7827,哈哈，这个能做t的散户也不多，主力戏太多,274,3,,,,,
2021/9/2 13:30,基民1x9DFB,明天解禁,298,2,,,,,
2021/9/2 13:15,向85829,不骂都不行了,158,0,,,,,
2021/9/2 10:01,韭菜速生粉,你们陪它慢慢磨，哥走了,375,0,,,,,
2021/9/1 22:01,大旺多多,太可恨了,585,1,,,,,
2021/9/1 19:19,大旺多多,极米庄太恶心太黑了！,207,0,,,,,
2021/9/1 19:01,股友PrbQfD,极米今天务必高开！,311,3,,,,,
2021/9/1 18:23,jyFT333,是该下来的，值不了那么多。,177,2,,,,,
2021/9/1 18:04,需要运气,散户就是乌合之众，下午还在卖，活该亏钱。炒股没那么,455,5,,,,,
2021/9/1 13:59,乌托邦之乎者也,上1000很快就到，今年之内上2000,737,10,,,,,
2021/9/1 13:42,大旺多多,该查查有没有一边吹牛，一边融券做空，有没有内部联手,163,0,,,,,
2021/9/1 10:55,大王来巡查,后天解禁了,148,0,,,,,
2021/9/1 9:56,股友yh,小涨，暴跌，小跌，暴跌,216,1,,,,,
2021/9/1 8:00,每日研报,多股获机构看好，目标涨幅最大136.42%(8-31),5038,0,,,,,
2021/8/31 20:25,巴菲特BMW,极米的下跌才刚刚开始,224,0,,,,,
2021/8/31 15:56,Finally2020,这公司你们也敢买，也是厉害，这公司老员工都走完了，,800,8,,,,,
2021/8/31 14:26,大旺多多,此股被刻意打压，只要买盘稍动，上方卖盘哗啦啦抛压，,306,2,,,,,
2021/8/31 13:06,不做大哥y多年,这股今后不到20块，立帖为证，如果在美上市，分分钟被,495,6,,,,,
2021/8/31 12:31,富凯财经,产品进入红海，蹭上鸿蒙热点，极米科技坐八望千,21019,3,,,,,
2021/8/31 9:15,极米科技资讯,688696:极米科技关于召开2021年半年度业绩说明会的公,1534,4,,,,,
2021/8/30 23:53,吉美门,彩电行业公司比较分析：21年半年报彩电行业谁的报表最,3592,5,,,,,
2021/8/30 22:43,觅牛者001,刚上市就学会了老油条的吃相，中国的公司大都是这德行,218,1,,,,,
2021/8/30 21:43,赶紧的来,开始准备抄底[加油][加油][加油],218,1,,,,,
2021/8/30 20:20,民之,机构就是靠研报画饼，毫无职业道德的欺骗散户。,161,0,,,,,
2021/8/30 19:10,觅牛者001,难不成要创新低？,200,1,,,,,
2021/8/30 16:35,一股向上,新的一轮下跌开始,216,1,,,,,
2021/8/30 15:00,股友ovo8uL,500跌破是必然，400上下求支撑,181,0,,,,,
2021/8/30 14:08,谎言揭穿者,极米就是一个笑话,215,0,,,,,
2021/8/30 13:43,广州星海,垃圾,157,0,,,,,
2021/8/30 13:33,股友ovo8uL,下周考验历史新低,376,6,,,,,
2021/8/30 13:25,洗洗睡大觉,这是要死的节奏,256,2,,,,,
2021/8/30 13:19,皮皮提,对不起；我减持200股拖垮了你，引起了雪崩。,298,1,,,,,
肯定砸盘,两亿多赚400%,九月三日解禁49万股,306,1,这才是重,亨通铁粉520,2021/8/30 13:11,,
2021/8/30 12:28,股友cUPI763462,考验460的支撑位，一泻千里的走势,175,0,,,,,
2021/8/30 12:05,巴菲特BMW,果然不含糊，跌破新低不可避免。而且依然只看不买，35,189,0,,,,,
2021/8/30 10:52,魑魅魍魉wlf,这走势难道是逻辑变了？看不明白了,669,0,,,,,
2021/8/30 10:39,股友8221D1Q075,这公司！无语了！,199,0,,,,,
2021/8/30 0:15,股友cUPI763462,下周考验支撑位460，喋喋不休等接盘,435,4,,,,,
2021/8/29 19:48,飞熊价值研投,极米科技—国内智能微投龙头，享行业高增红利，产品加,2294,0,,,,,
2021/8/29 14:04,股友85N662y733,早就说过要刺破441.5,526,7,,,,,
2021/8/29 9:03,极米科技资讯,极米科技：新品上市叠加光机自研助推盈利能,2458,4,,,,,
2021/8/29 5:40,极米科技资讯,极米科技推“平价”股票期权 董事长钟波全,1081,12,,,,,
2021/8/28 21:21,极米科技资讯,极米科技股权激励点评：彰显公司信心，长期,2468,6,,,,,
2021/8/28 8:11,极米科技资讯,极米科技：融资净偿还787.13万元，融资余额,363,0,,,,,
2021/8/28 7:39,股友utypSB,米友们我又来了，上次590出的，这次要求不,350,5,,,,,
2021/8/27 14:34,大旺多多,此股稍涨点，立即挂大单抛压，天天如此,217,1,,,,,
2021/8/27 13:11,大旺多多,应该关注融资融券券商和发布利好券商关系。,134,0,,,,,
2021/8/27 13:01,小船东风,双底形成，买入潜伏,179,0,,,,,
2021/8/27 12:48,股友TYaVi3,这股没救了，天天发利好天天跌，割肉了，留,190,1,,,,,
2021/8/27 10:05,极米科技资讯,广发证券维持极米科技增持评级 目标价619.8,506,1,,,,,
2021/8/27 8:47,FCCC,说了质量不行售后不行 还非说我友商无语,631,14,,,,,
2021/8/27 8:03,OYO7827,又是接近两千万的融资补仓，多头不死空头不,200,0,,,,,
2021/8/26 23:28,大旺多多,此股被融券盘玩死了,206,2,,,,,
2021/8/26 23:16,极米科技资讯,极米科技股权激励草案点评：股权激励凝聚人,2154,6,,,,,
2021/8/26 21:55,金证研,法规严格规范上市企业市场推广 监管出手虚,2358,0,,,,,
2021/8/26 20:49,每天拼人品,三百万期权期权懂不懂烦行权价懂不懂股票价,472,1,,,,,
2021/8/26 20:46,小晶块,又是公告又是研报[笑哭][笑哭]，难道明天就,199,1,,,,,
2021/8/26 19:25,金融投资报,新川股及次新川股业绩分化：极米科技“居首,2920,0,,,,,
2021/8/26 19:02,极米科技资讯,开源证券维持极米科技买入评级 近期获16份,709,2,,,,,
2021/8/26 18:54,极米科技资讯,股权激励计划出台，深入绑定核心员工利益,1378,0,,,,,
2021/8/26 18:31,解禁追踪,极米科技：46.9万限制性股票解除限售 9月3,387,0,,,,,
2021/8/26 17:46,极米科技资讯,688696:极米科技首次公开发行网下配售限售,549,1,,,,,
2021/8/26 17:06,小AAAAA,一发研报就暴跌、今天有验证了,175,0,,,,,
2021/8/26 16:52,每天拼人品,短期拉不上557股权激励失败后果很严重核心,290,0,,,,,
2021/8/26 16:16,潜伏589,这股还真神呢，只要出研报咨询就会配合着反向下跌[呲,217,1,,,,,
2021/8/26 15:38,巴菲特BMW,产品太low了，跟当年的DVD路子差不多，卖壳子而已，30,178,0,,,,,
2021/8/26 14:54,韭菜速生粉,借利空砸个日线底背离就是相当好的价格了,281,1,,,,,
2021/8/26 14:27,极米科技资讯,中泰证券维持极米科技买入评级 预计2021年净利润同比,429,0,,,,,
2021/8/26 13:44,每日研报,多股获机构看好，目标涨幅最大130.91%(8-22),13031,23,,,,,
2021/8/26 12:41,暗黑千年曙光碑,好熟悉的名字，jm，骂声一片，还得骂，机会快来了！,193,0,,,,,
2021/8/26 11:45,财运万贯的裘千仞,当接盘侠了,186,0,,,,,
2021/8/26 11:29,基民1x9DFB,这不是又要稀释股票，这不破500又稳了……,295,0,,,,,
2021/8/26 11:09,高抛低吸8龙精,这个产品很多公司可生产，手机视频己是主流！长期看空,211,0,,,,,
2021/8/26 11:03,见者涨停有份,扶不起的阿斗，还好跑了！,170,0,,,,,
2021/8/26 10:54,小晶块,下跌通道大开啊,165,0,,,,,
2021/8/26 10:47,yum888888,暴跌近400元的谜底揭开了！,850,3,,,,,
2021/8/26 10:29,极米科技资讯,688696:2021年股票期权及限制性股票激励计划(草案),1212,14,,,,,
2021/8/26 9:46,小船东风,万岁，开盘竞价跑了,243,1,,,,,
2021/8/26 8:15,极米科技资讯,极米科技：融资净买入57.66万元，融资余额3.62亿元（0,338,0,,,,,
2021/8/26 2:15,极米科技资讯,688696:极米科技2021年股票期权及限制性股票激励计划,370,1,,,,,
2021/8/25 22:53,FCCC,这公司产品质量真的不行 售后各方面真的不行,702,20,,,,,
2021/8/25 19:13,小船东风,震荡这几次，挣钱多过涨停[财力],409,7,,,,,
2021/8/25 18:14,极米科技资讯,极米科技：公司董事会秘书辞职及聘任高级管理人员,354,0,,,,,
2021/8/25 17:57,极米科技资讯,688696:极米科技关于独立董事公开征集委托投票权的公,324,0,,,,,
2021/8/25 17:56,极米科技资讯,688696:中国国际金融股份有限公司关于《成都极米科技,292,0,,,,,
2021/8/25 17:56,极米科技资讯,688696:2021年股票期权及限制性股票激励计划激励对象,365,0,,,,,
2021/8/25 17:56,极米科技资讯,688696:极米科技独立董事关于第一届董事会第二十五次,209,0,,,,,
2021/8/25 17:56,极米科技资讯,688696:极米科技关于公司董事会秘书辞职及聘任高级管,255,0,,,,,
2021/8/25 17:56,极米科技资讯,688696:监事会关于公司2021年股票期权及限制性股票激,223,0,,,,,
2021/8/25 12:01,极米科技资讯,公司简评报告：研发助力产品推新，量价齐升,2067,1,,,,,
2021/8/25 9:48,OYO7827,融资盘割肉2亿以内再说吧，都在车上谁拉啊,241,0,,,,,
2021/8/25 9:10,招财猫财富攻,无量心,14133,0,,,,,
2021/8/24 22:30,极米科技资讯,首创证券给予极米科技买入评级：研发助力产,537,1,,,,,
2021/8/24 22:24,广州星海,600股亏20个点要不要砍,189,1,,,,,
2021/8/24 15:24,耙耳朵朵,570.5震荡一周,202,1,,,,,
2021/8/24 11:43,我要攒好多钱,吉利点跌到520进,169,0,,,,,
2021/8/24 9:35,极米科技资讯,公司信息更新报告：2021Q2营收增速放缓，净,3003,8,,,,,
2021/8/24 0:15,极米科技资讯,21H1归母净利润同增98.06%，成功发布新品量,2358,1,,,,,
2021/8/23 20:53,极米科技资讯,华安证券维持极米科技买入评级 预计2021年,441,1,,,,,
2021/8/23 16:18,股友AAEJK0,区间震荡，7个点到手,183,0,,,,,
2021/8/23 15:19,松果财经,营收利润双增领跑投影市场：极米科技财报透,1542,0,,,,,
2021/8/23 13:23,极米科技资讯,新产品导入叠加盈利能力增强，智能微投保持,2287,1,,,,,
2021/8/23 8:17,民之,极米科技9月3日解禁46.90万股，.明年3月3日,382,0,,,,,
2021/8/22 16:02,小船东风,很多研报，机构很看好，投票支持,242,0,,,,,
2021/8/22 21:36,小晶块,票是好票，所以我密切关注，但短线看空,233,1,,,,,
2021/8/22 14:06,极米科技资讯,开源证券维持极米科技买入(Buy)评级 预计2021年净利润,427,0,,,,,
2021/8/22 10:55,极米科技资讯,2021年中报点评：盈利能力高增，龙头步伐稳,2225,0,,,,,
2021/8/21 21:21,极米科技资讯,上市后首份中报业绩亮眼 极米科技上半年净,1139,2,,,,,
2021/8/21 8:46,OYO7827,又进了三千万融资盘，周一至少要补下影线，,241,0,,,,,
2021/8/20 23:34,极米科技资讯,新品放量叠加光机自研自产，盈利能力改善,1777,1,,,,,
2021/8/20 22:28,老雷义,极米科技今天11点03分开始反弹，大盘下午1:,361,1,,,,,
2021/8/20 22:19,极米科技资讯,中金公司维持极米科技跑赢行业评级 目标价6,431,3,,,,,
2021/8/20 20:09,极米科技资讯,2021年半年报点评：量价齐升，业绩保持高增,1534,2,,,,,
2021/8/20 19:51,yangweimin998,一个年利润在四个亿以下的企业，市值超过25,751,3,,,,,
2021/8/20 15:42,极米科技资讯,H1业绩翻倍增长，盈利能力持续攀升,2021,3,,,,,
2021/8/20 15:19,小船东风,为何没拉红,209,0,,,,,
2021/8/20 14:59,极米科技资讯,兴业证券维持极米科技审慎增持评级 预计202,403,0,,,,,
2021/8/20 14:35,极米科技资讯,中泰证券维持极米科技买入评级 预计2021年,273,0,,,,,
2021/8/20 11:44,陈一秤金,不创新低不买货,159,0,,,,,
2021/8/20 11:21,极米科技资讯,国金证券维持极米科技买入评级 目标价822元,470,2,,,,,
2021/8/20 10:38,股友9yHvhr,天天跌,181,0,,,,,
2021/8/20 10:23,极米科技资讯,华创证券维持极米科技强推评级 目标价830元,290,0,,,,,
2021/8/20 9:56,炒股随缘999,冲,175,0,,,,,
2021/8/20 9:48,科创板日报,半年报解读｜新品带动售价和毛利提升 极米,1038,0,,,,,
2021/8/20 9:28,极米科技资讯,民生证券首次给予极米科技推荐评级 预计202,368,0,,,,,
2021/8/20 9:09,萝卜投研,分析师大幅调整29股盈利预测 1股距离目标价,2673,0,,,,,
2021/8/20 8:20,金证研,企业网站成照妖镜 背后所获资质“探底”独,2166,2,,,,,
2021/8/20 8:10,科创板日报,科创板晚报｜国资委推动关键核心技术攻关,1399,0,,,,,
2021/8/20 7:06,极米科技资讯,业绩增长符合预期，盈利能力持续提高,3682,3,,,,,
2021/8/19 21:44,股友3PvcrX,投影机也算科技创新企业？搞科创板搞到最后,184,0,,,,,
2021/8/19 21:33,极米科技资讯,聚焦半年报｜极米科技营收16.87亿 净利润1.,649,2,,,,,
2021/8/19 21:14,股友ovo8uL,中报与预报没有太大出入！又要恢复不死不活,183,0,,,,,
2021/8/19 20:35,国际金融报,“国家队”大赚，收益率创10年新高，股民如,1519,0,,,,,
2021/8/19 19:57,股友1DZoHA,这个股都是基金玩的，散户玩不起[微笑]看看,189,1,,,,,
2021/8/19 19:04,股友ovo8uL,看看义翅你还要脸？中报丑面孔早有人知,298,2,,,,,
2021/8/19 18:15,极米科技资讯,极米科技上半年净利润同比增长98.06%,462,1,,,,,
2021/8/19 17:35,春风小夜子,极米科技：业绩超预期，成长动力强劲,839,1,,,,,
2021/8/19 16:23,极米科技资讯,688696:极米科技2021年半年度报告摘要,963,2,,,,,
2021/8/19 15:58,一句话财报,极米科技：2021上半年净利润同比增长98.06%,414,2,,,,,
2021/8/19 15:46,极米科技资讯,688696:2021年半年度报告全文,1032,1,,,,,
2021/8/19 15:38,极米科技资讯,688696:关于第一届董事会第二十四次会议相,251,0,,,,,
2021/8/19 15:37,极米科技资讯,688696:极米科技2021年半年度募集资金存放,236,0,,,,,
2021/8/19 14:48,股友f5zQme,今天下午盘后中报可能送转。,362,5,,,,,
2021/8/19 13:49,股友KH0LMn,你被301047超车啦，开加速刚上,266,3,,,,,
2021/8/19 10:10,我可不是股神哦,这股跟南大环境走势一模一样，没买的别入手了，买了的,785,6,,,,,
2021/8/19 9:06,股友391n333P80,主力来了,170,0,,,,,
2021/8/19 0:30,广州星海,昨天跌28..04今天涨28.04故意这样玩吗,360,4,,,,,
2021/8/18 18:00,股友618910D77y,请掏男孩代言，凉了用户的芯,293,0,,,,,
2021/8/18 16:55,定报披露提示,极米科技预计明日收盘后（周四晚）披露半年报,915,3,,,,,
2021/8/18 16:13,激动万分的兔子,拖拉机单，有机构出货,360,3,,,,,
2021/8/18 13:20,低调or高调,为什么找戏子做代言人？古代圣贤都鄙视，是有道理的。,324,2,,,,,
2021/8/18 9:44,钟呜谷应,顶级流量代言人,576,5,,,,,
2021/8/17 14:14,钱多割着玩,选了个半天，选这么个玩意儿，跌的妈都不认识了,191,0,,,,,
2021/8/17 13:51,钱多割着玩,签约后，股价下跌，哈哈哈哈哈,309,1,,,,,
2021/8/17 11:43,泉州12年股友,极米的尿性11点28分，同时恭喜易烊千玺成为极米全球代,467,4,,,,,
2021/8/17 7:37,每天拼人品,无屏电视牛逼啊100寸的超赞,291,0,,,,,
2021/8/16 21:01,n141040265841bc5,天风你们说他乱报价，国信报价靠谱吧？,450,3,,,,,
2021/8/16 17:27,洛冰王,市值能看到1000吗？请大牌得对自己有信心,213,1,,,,,
2021/8/16 15:11,恰烂钱小苏,懂的都懂,601,3,,,,,
2021/8/16 14:36,小晶块,说涨的都在害人，还没跌到位,386,6,,,,,
2021/8/16 14:32,跌停跌停跌停跌停,拉高出货了跌停跌停跌停跌停跌停跌停跌停跌跌停跌拉高,139,0,,,,,
2021/8/16 13:58,股友39W11651F1,我们的极米厉害了继续发挥,210,0,,,,,
2021/8/16 13:12,洗洗睡大觉,这周大盘崩，科创可能逆势，加油,190,0,,,,,
2021/8/16 12:41,小船东风,探底回升[财力],239,0,,,,,
2021/8/16 10:08,股友ovo8uL,500必破,188,1,,,,,
2021/8/16 9:14,n14267700337582a,支持国产替代，极米也不能例外，这是情怀！,438,5,,,,,
2021/8/15 15:04,两融追踪,融资融券周汇总：极米科技本周融资净偿还67.28万元,330,0,,,,,
2021/8/15 0:08,小船东风,都看空，我就放心了,146,0,,,,,
2021/8/14 20:37,馥比仙,什么时候回到800,296,5,,,,,
2021/8/14 9:45,农民工打工,社保和养老基金都跑了,347,0,,,,,
2021/8/14 4:55,大王来巡查,这盘收的555.18我我我要发,238,1,,,,,
2021/8/13 21:28,川东华蓥煤矿工人,今天放上市以来地量什么意思？,227,1,,,,,
2021/8/13 10:04,小晶块,继续下杀,209,0,,,,,
2021/8/13 7:34,股友Zv236e,不过，对于百度此款86寸巨幕电视是否能够在彩电市场泛,454,0,,,,,
2021/8/12 15:50,大旺多多,散户都不要卖，融券自买自卖,316,2,,,,,
2021/8/12 15:29,jie着奏乐接着舞,仙人指路,265,3,,,,,
2021/8/12 10:47,极米科技资讯,极米科技：融资净买入731.96万元，融资余额3.36亿元（,427,1,,,,,
2021/8/12 0:37,浅水论股点睛,极米：业绩/市盈率/净资产收益率/成长性＝6股中线看涨,1730,12,,,,,
2021/8/11 18:36,股友0X2582287N,我这个人打价格的时候有点迷信508.88进的，今天出了，,634,6,,,,,
2021/8/11 14:29,小船东风,600没走[大哭],156,0,,,,,
2021/8/11 14:10,祥龙_献瑞,明天改名，缩头极米。,161,0,,,,,
2021/8/11 12:04,需要运气,其实这波510极米还在看空的人，说实话你的水平真的很,460,1,,,,,
2021/8/11 10:34,小船东风,510成本≧≦，嗨森,124,0,,,,,
2021/8/10 21:29,小晶块,没放量，明天调整了,256,2,,,,,
2021/8/10 21:31,需要运气,明天将打破极米不能连续上涨的行情，这波上涨必突破58,805,6,,,,,
2021/8/10 17:34,极米科技股友,公司最新股东人数,858,0,,,,,
2021/8/10 14:56,乐呆呆4898,极米主力今天最高价吹出578.88（我吃发发发）的上涨集,335,2,,,,,
2021/8/10 13:27,股友ovo8uL,一日涨万人疯！切记趋势未变,350,0,,,,,
2021/8/10 10:26,满天红耶,欧耶……………～冲啊………1000见…………,145,0,,,,,
2021/8/10 10:22,需要运气,极米科技基本面没变，9月依旧可上750，现在的问题是，,423,1,,,,,
2021/8/10 9:38,祥龙_献瑞,极米定破千。,314,0,,,,,
2021/8/10 8:12,极米科技资讯,极米科技：融资净偿还2365.69万元，融资余额3.14亿元,392,0,,,,,
2021/8/9 17:32,极米科技资讯,极米科技：智能微投和电视更多的是互补关系,2915,4,,,,,
2021/8/9 17:22,广州星海,垃圾。你看石头都反弹300一股了,266,2,,,,,
2021/8/9 14:43,股友lN5XRc7729,不要补，500必破，450再说,308,2,,,,,
2021/8/9 12:41,小船东风,明显跌不动了,257,2,,,,,
2021/8/9 9:28,赶紧的来,今天应该有收获了吧[怒][怒][怒],327,0,,,,,
2021/8/8 23:58,股友lx0P11,这就是抱团定价股？发行价高的离谱。,253,1,,,,,
2021/8/8 17:33,钟呜谷应,今天终于来建仓了,664,9,,,,,
2021/8/8 15:04,两融追踪,极米科技连续4周融资净买入合计1.6亿元,456,0,,,,,
